epoch,time,val_loss,val_accuracy,train_loss,train_accuracy
1,184.1638960838318,2.514394700527191,0.37251111540692056,3.2080585967628443,0.2712421459642339
2,177.1844184398651,2.0689134825894864,0.4577614537019138,2.190154516346856,0.4268245529241179
3,176.46085119247437,1.9061203819734078,0.5010632128358786,1.8387066475022151,0.5014016433059449
4,180.0771245956421,1.835416469309065,0.5134351440170114,1.594182518018637,0.5543257612373127
5,177.54618167877197,1.801297520045881,0.525613763773439,1.4142862670756935,0.5989366843885935
6,172.58532905578613,1.8394001244026938,0.5352793350086991,1.2643756059443194,0.6347994200096665
7,176.1291801929474,1.8541765665566479,0.5358592692828146,1.127997760380254,0.6701304978250362
8,180.796879529953,1.8281812734074063,0.5515174946839358,1.0304246762252112,0.6970517158047366
9,177.03749799728394,1.9409399617601324,0.5383723178039822,0.9078081018036631,0.7275012083131948
10,182.19226503372192,1.9256387492756786,0.5455248405180746,0.8109900466118934,0.7578057032382793
11,180.54960942268372,1.9843192019580322,0.5385656292286874,0.7124492747844463,0.7817786370227163
12,178.1231541633606,2.0991147131095698,0.5352793350086991,0.6675877085839393,0.7959400676655389
13,176.4230875968933,2.050227286639037,0.5476512661898318,0.5876439023745668,0.8162880618656356
14,178.65167140960693,2.1642280162116627,0.5416586120239706,0.5278425633423663,0.8345094248429192
15,178.02871537208557,2.248966027189184,0.5538372317803982,0.4982456723472803,0.8435476075398743
