epoch,time,val_loss,val_accuracy,train_loss,train_accuracy
1,199.69991254806519,2.4750682998586586,0.38024357239512857,3.132598669856925,0.2773320444659256
2,217.54254460334778,2.1062884669245023,0.4544751594819254,2.160664859658231,0.43117448042532625
3,228.2992548942566,1.9191164683412623,0.5000966557123526,1.8132378876301383,0.4999033349444176
4,221.16651582717896,1.9053343644848577,0.4954571815194278,1.5732053496185374,0.5599323344610924
5,198.39839100837708,1.8465581760730272,0.5186545524840518,1.402124076759244,0.5985016916384727
6,203.5747389793396,1.8665310034045466,0.5254204523487338,1.2307381473331953,0.6420492991783471
7,199.6300446987152,1.8618481501385018,0.5335395321863522,1.1059340397025554,0.6759304011599807
8,203.04817152023315,1.8095655937989552,0.5501643147109995,1.010682120988321,0.7011116481391977
9,202.45971059799194,1.901038736840825,0.5397254977769186,0.8758532069105269,0.7375543740937651
10,199.97875237464905,1.9591371343459612,0.5403054320510342,0.7929083739495166,0.7552440792653455
11,201.7809612751007,2.0839724938074746,0.5325729750628262,0.7080329351207757,0.7834219429676172
12,199.22931385040283,2.0140930009476934,0.5379856949545718,0.6387851895560068,0.8039149347510874
13,203.65182280540466,2.140446940689911,0.5466847090663058,0.5645608358442138,0.8238762687288546
14,196.6674826145172,2.171117263443676,0.5393388749275082,0.5336582292406784,0.8307394876752054
15,198.779381275177,2.1376447821104967,0.5515174946839358,0.48911474410219946,0.8474625422909619
16,198.34561920166016,2.2638570578009993,0.5432051034216122,0.45807831577806973,0.8574190430159497
17,197.3717303276062,2.3433351483609943,0.547844577614537,0.3952297486675762,0.8761237312711455
18,201.5235891342163,2.3170805989224235,0.5397254977769186,0.4033848300253774,0.8724021266312229
